source_column,source_name,clean_name,label,question_en,question_ne,form_type,relevant
41,Others_please_specify_001,q2_5_1_other,2.5.1 Other reason for not voting: provincial,Others please specify,अरु कारण भए खुलाइदिनुहोला ,text,${q2_5_1} = 'others_please_specify'
42,q2_6,q2_6,2.6 Voted in 2022 local election,2.6.  Did you vote in the 2022 local election? (Ask only for respondents above or equal to the age of 22),२.६ के तपाईंले २०७९ को स्थानीय तह निर्वाचनमा मतदान गर्नुभयो?,select_one vote,${age} >= 22
43,q2_6_1,q2_6_1,2.6.1 Reason for not voting: local,2.6.1.  Why didn’t you vote?,२.६.१ तपाईंले किन मतदान गर्नुभएन?,select_one nonvote_reason,${q2_6} = '2'
44,Others_please_specify_002,q2_6_1_other,2.6.1 Other reason for not voting: local,Others please specify,अरु कारण भए खुलाइदिनुहोला ,text,${q2_6_1} = 'others_please_specify'
46,q2_7,q2_7,2.7 Likelihood of voting in 2027 local elections,2.7.  How likely are you to vote in the upcoming 2027 local elections?,२.७ आगामी २०८४ को स्थानीय तह निर्वाचनमा तपाईंले मतदान गर्ने सम्भावना कत्तिको छ?,select_one future_vote,
47,q2_7_1,q2_7_1,2.7.1 Reason unlikely to vote in 2027 local elections,2.7.1.  Why are you unlikely to vote?,२.७.१ तपाईंले मतदान गर्ने सम्भावना कम हुनुको मुख्य कारण के हो?,select_one unlikely_reason,${q2_7} = '3' or ${q2_7} = '4'
50,q2_8_1,q2_8_1,2.8.1 Past 12 months: Attended campaign/rally,Attend a political campaign or election rally,राजनीतिक अभियान वा चुनावी सभामा सहभागी भएको,select_one civic_yes_no,
51,q2_8_2,q2_8_2,2.8.2 Past 12 months: Volunteered for party/campaign,Volunteered for a political party or election campaign,राजनीतिक दल वा निर्वाचन अभियानमा स्वयंसेवकका रूपमा काम गरेको,select_one civic_yes_no,
52,q2_8_3,q2_8_3,2.8.3 Past 12 months: Joined protest/demonstration,Participated in protest/demonstration,विरोध/प्रदर्शनमा सहभागी भएको,select_one civic_yes_no,
53,q2_8_4,q2_8_4,2.8.4 Past 12 months: Joined public meeting/discussion,Participated in a public meeting/ discussion,सार्वजनिक बैठक/छलफलमा सहभागी भएको,select_one civic_yes_no,
54,q2_8_5,q2_8_5,2.8.5 Past 12 months: Contacted elected representative,Contacted an elected representative to raise an issue,कुनै विषय उठाउन निर्वाचित प्रतिनिधिसँग सम्पर्क गरेको,select_one civic_yes_no,
55,q2_8_6,q2_8_6,2.8.6 Past 12 months: Joined ward user committee,Become a member of the user’s committee at your ward,आफ्नो वडाको उपभोक्ता समितिको सदस्य बनेको,select_one civic_yes_no,
56,q2_9,q2_9,2.9 Confidence in influencing government decisions,2.9.  How confident are you that people like you can influence government decisions?,२.९ हजुरको उमेर समुहको नागरिकहरुले  सरकारी निर्णयहरूमा प्रभाव पार्न सक्छन् भन्ने कुरामा तपाईं कत्तिको विश्वस्त हुनुहुन्छ?,select_one confidence,
59,q3_1_1,q3_1_1,Nepal instability cause: Government changes/party conflict,3.1.1  Frequent change in government and political conflict within and between parties causes political instability in Nepal.,३.१.१ सरकारमा बारम्बार हुने परिवर्तन तथा दलभित्र र दलहरूबीचको राजनीतिक द्वन्द्वले नेपालमा राजनीतिक अस्थिरता निम्त्याउँछ।,select_one agree5,
60,q3_1_2,q3_1_2,Nepal instability cause: Policy formulation failure,3.1.2 Inability of the government to formulate policies causes political instability in Nepal.,३.१.२ सरकारले नीति बनाउन नसक्दा नेपालमा राजनीतिक अस्थिरता निम्तिन्छ।,select_one agree5,
61,q3_1_2_001,q3_1_2_001,Nepal instability cause: Policy implementation failure,3.1.3 Inability of the government to implement its policies causes political instability in Nepal.,३.१.२ सरकारले नीति कार्यान्वयन गर्न नसक्दा नेपालमा राजनीतिक अस्थिरता निम्तिन्छ।,select_one vx7xv18,
62,q3_1_3,q3_1_3,Nepal instability cause: Corruption,3.1.4 Corruption causes political instability.,३.१.४ भ्रष्टाचारले राजनीतिक अस्थिरता निम्त्याउँछ।,select_one agree5,
63,q3_1_3_001,q3_1_3_001,Nepal instability cause: Lack of accountability,3.1.5 Lack of Accountability causes political instability.,३.१.५ पारदर्शिताको कमिले  राजनीतिक अस्थिरता निम्त्याउँछ।,select_one fx1wd71,
64,q3_1_4,q3_1_4,Nepal instability cause: Protests/violence/civic unrest,"3.1.6 Frequent public protests, demonstration, violence and civic unrest cause political instability.","३.१.६ बारम्बार हुने सार्वजनिक विरोध, प्रदर्शन, हिंसा र नागरिक अशान्तिले राजनीतिक अस्थिरता निम्त्याउँछ।",select_one agree5,
65,q3_1_5,q3_1_5,Nepal instability cause: Transfers of government officials,3.1.7 Frequent transfer of government officials causes political instability.,३.१.७ सरकारी अधिकारीहरूको बारम्बार सरुवाले राजनीतिक अस्थिरता निम्त्याउँछ।,select_one agree5,
66,q3_1_6,q3_1_6,Nepal instability cause: Conflict between government tiers,3.1.6 Conflict between different tiers of government causes political instability,"३.१.८ सरकारका विभिन्न तहबीचको (संघ, प्रदेश र स्थानीय) द्वन्द्वले राजनीतिक अस्थिरता निम्त्याउँछ।",select_one agree5,
67,q3_1_7,q3_1_7,Nepal instability cause: Foreign/external influence,3.1.7 Foreign/External influence causes political instability.,३.१.९ विदेशी/बाह्य प्रभावले राजनीतिक अस्थिरता निम्त्याउँछ।,select_one agree5,
68,q3_2,q3_2,3.2 Political stability of Nepal today,3.2.  How would you rate the political stability of Nepal today?,३.२ आजको अवस्थामा नेपालको राजनीतिक स्थिरतालाई तपाईं कसरी मूल्याङ्कन गर्नुहुन्छ?,select_one stability,
69,q3_3,q3_3,3.3 Nepal stability compared with one year ago,"3.3.  Compared to one year ago, Nepal is politically:",३.३ एक वर्षअघिको तुलनामा नेपालको राजनीतिक अवस्था:,select_one comparison,
70,q3_4,q3_4,3.4 Nepal stability compared with five years ago,"3.4.  Compared to five years ago, Nepal is politically:",३.४ पाँच वर्षअघिको तुलनामा नेपालको राजनीतिक अवस्था:,select_one comparison,
71,q3_5,q3_5,3.5 Expected Nepal stability in five years,"3.5.  Compared to now, in 5 years Nepal will be:",३.५ अहिलेको तुलनामा पाँच वर्षपछि नेपालको राजनीतिक अवस्था कस्तो हुनेछ?,select_one comparison,
73,q3_6,q3_6,3.6 Likelihood government changes within one year,3.6.  How likely do you think the government will change in the next one year?,३.६ आगामी एक वर्षमा सरकार परिवर्तन हुने सम्भावना कत्तिको छ भन्ने तपाईंलाई लाग्छ?,select_one likelihood,
74,q3_7,q3_7,3.7 Likelihood government changes before next federal election,3.7.  How likely do you think the government will change before the next federal election?,३.७ अर्को प्रतिनिधिसभा निर्वाचनअघि सरकार परिवर्तन हुने सम्भावना कत्तिको छ भन्ने तपाईंलाई लाग्छ?,select_one likelihood,
75,q3_8,q3_8,3.8 Likelihood of major political event within five years,"3.8.  How likely do you think Nepal will experience a major political event, movement or revolution within the next five years?","३.८ आगामी पाँच वर्षभित्र नेपालमा कुनै ठूलो राजनीतिक घटना, आन्दोलन वा राजनीतिक परिवर्तन हुने सम्भावना कत्तिको छ?",select_one likelihood,
76,q3_9,q3_9,3.9 Likelihood of new political force within five years,3.9.  How likely is a new political party or political force to emerge in the next five years?,३.९ आगामी पाँच वर्षमा नयाँ राजनीतिक दल वा राजनीतिक शक्ति उदाउने सम्भावना कत्तिको छ?,select_one likelihood,
78,q3_10_11,q3_10_11,Nepal stability risk: Corruption,3.10.1 Corruption poses a great risk to political stability in Nepal.,३.१०.१ भ्रष्टाचारले भविष्यमा नेपालको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउँन सक्छ ।,select_one agree5,
79,q3_10_11_001,q3_10_11_001,Nepal stability risk: Lack of accountability,3.10.2 lack of accountability poses a great risk to political stability in Nepal.,३.१०.२ जवाफदेहिताको कमीले भविष्यमा नेपालको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउँन सक्छ ।,select_one sn7om92,
80,q3_10_12,q3_10_12,Nepal stability risk: Unemployment/economic opportunities,3.10.3 Unemployment and lack of economic opportunities pose a great risk to political stability in Nepal.,३.१०.३ बेरोजगारी र आर्थिक अवसरको कमीले भविष्यमा नेपालको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउँन सक्छ ।,select_one agree5,
81,q3_10_13,q3_10_13,Nepal stability risk: Political exclusion,3.10.3 Political exclusion of certain groups poses a great risk to political stability in Nepal.,३.१०.४ राज्य संयत्रमा  सामवेशिताको कमीले भविष्यमा नेपालको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउँन सक्छ ।,select_one agree5,
82,q3_10_14,q3_10_14,Nepal stability risk: Rising cost of living,3.10.4 Rising cost of living poses a great risk to political stability in Nepal.,३.१०.५ बढ्दो महंगीले भविष्यमा  नेपालको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउँन सक्छ ।,select_one agree5,
83,q3_10_15,q3_10_15,Nepal stability risk: Social media misinformation,3.10.5 Misinformation through social media poses a great risk to political stability in Nepal.,३.१०.६ सामाजिक सञ्जालमार्फत फैलिने गलत/मिथ्य/भ्रामक  सूचनाले भविष्यमा नेपालको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउँन सक्छ ।,select_one agree5,
84,q3_10_16,q3_10_16,Nepal stability risk: Foreign/external influence,3.10.6 Influence of foreign/external forces poses a great risk to political stability in Nepal.,३.१०.७ विदेशी/बाह्य शक्तिको प्रभावले भविष्यमा नेपालको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउँन सक्छ ।,select_one agree5,
85,q3_10_17,q3_10_17,Nepal stability risk: Ethnic/religious conflict,3.10.7 Ethnic or religious tension/conflict poses a great risk to political stability in Nepal.,३.१०.८ जातीय वा धार्मिक तनाव/द्वन्द्वले भविष्यमा नेपालको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउँन सक्छ |,select_one agree5,
87,q3_11_1,q3_11_1,Nepal hope: Governance/anti-corruption reforms,3.11.1 I am hopeful for Nepal’s future because it had adopted better governance and anti-corruption reforms.,३.११.१ नेपालले सुशासन र भ्रष्टाचारविरोधी सुधारहरू अपनाएकोले म नेपालको भविष्यप्रति आशावादी छु।,select_one agree5,
88,q3_11_2,q3_11_2,Nepal hope: Youth political participation,3.11.2 I am hopeful about Nepal’s future because of greater youth participation in politics.,३.११.२ राजनीतिमा युवाहरूको बढ्दो सहभागिताका कारण म नेपालको भविष्यप्रति आशावादी छु।,select_one agree5,
89,q3_11_3,q3_11_3,Nepal hope: Improved democracy,3.11.3 I am hopeful about Nepal’s future because of the state of the democracy has improved.,३.११.३ लोकतन्त्रको अवस्था सुधार भएकोले म नेपालको भविष्यप्रति आशावादी छु।,select_one agree5,
90,q3_11_4,q3_11_4,Nepal hope: Economic/employment prospects,3.11.4 I am hopeful about Nepal’s future because economic and employment prospect is in increasing trend.,३.११.४ आर्थिक तथा रोजगारीका सम्भावना बढ्दो क्रममा रहेकाले म नेपालको भविष्यप्रति आशावादी छु।,select_one agree5,
93,q4_1,q4_1,4.1 Attention to September 8 Gen-Z protest and subsequent politics,4.1.  How closely have you followed the September 8 Gen-Z protest and the subsequent political happenings in Nepal?,४.१ भदौ २३ र २४  को Gen-Z आन्दोलन र त्यसपछि नेपालमा भएका राजनीतिक घटनाक्रमलाई तपाईंले कत्तिको नजिकबाट चासो राख्नु भएको  थियो ?,select_one follow_genz,
95,q4_2_1,q4_2_1,Gen-Z protest cause: Corruption,4.2.1 Widescale corruption are reasons behind the Gen-Z protest in Nepal.,४.२.१ व्यापक भ्रष्टाचार नेपालमा Gen-Z आन्दोलन हुनुका कारण हुन्।,select_one agree5,
96,q4_2_2,q4_2_2,Gen-Z protest cause: Poor public services,4.2.2 Poor public service delivery are reasons behind the Gen-Z protest in Nepal.,४.२.२ कमजोर सार्वजनिक सेवा प्रवाह नेपालमा Gen-Z आन्दोलन हुनुका कारण हुन्।,select_one agree5,
97,q4_2_3,q4_2_3,Gen-Z protest cause: Unemployment/economic opportunities,4.2.3 Unemployment and lack of economic opportunities reasons behind Gen-Z protest in Nepal.,४.२.३ बेरोजगारी र आर्थिक अवसरको कमी नेपालमा Gen-Z आन्दोलन हुनुका कारण हुन्।,select_one agree5,
98,q4_2_4,q4_2_4,Gen-Z protest cause: Rising cost of living,4.2.4 Rising cost of living is the reason behind Gen-Z protest in Nepal.,४.२.४ बढ्दो महंगी  नेपालमा Gen-Z आन्दोलन हुनुको कारण हो।,select_one agree5,
99,q4_2_5,q4_2_5,Gen-Z protest cause: Distrust of leaders/parties/institutions,"4.2.5 Lack of trust in political leaders, parties, and government institutions are the reasons behind Gen-Z protest in Nepal.","४.२.५ राजनीतिक नेता, दल र सरकारी संस्थाप्रतिको विश्वासको कमी नेपालमा Gen-Z आन्दोलन हुनुका कारण हुन्।",select_one agree5,
100,q4_2_6,q4_2_6,Gen-Z protest cause: Nepotism/elite capture,4.2.6 Nepotism and elite capture are the reasons behind Gen-Z protest in Nepal.,४.२.६ नातावाद र सीमित पहुचयोग्य  वर्गको वर्चस्वनै  नेपालमा Gen-Z आन्दोलन हुनुका कारण हुन्।,select_one agree5,
101,q4_2_7,q4_2_7,Gen-Z protest cause: Social media ban,4.2.7 Sudden ban of social media is the reason behind Gen-Z protest in Nepal.,४.२.७ सामाजिक सञ्जालमाथिको अचानक लगाइएको प्रतिबन्ध नेपालमा Gen-Z आन्दोलन हुनुको कारण हो।,select_one agree5,
102,q4_2_8,q4_2_8,Gen-Z protest cause: Foreign/external influence,4.2.8 External influence or outside forces is the major reason behind Gen-Z protest in Nepal.,४.२.८ बाह्य प्रभाव वा बाह्य शक्तिहरू नेपालमा Gen-Z आन्दोलन हुनुको प्रमुख कारण हो।,select_one agree5,
103,q4_3,q4_3,4.3 Gen-Z protest: turning point in political history,4.3.  To what extent do you agree that the recent Gen-Z protest represents a turning point in Nepal’s political history?,४.३ हालैको Gen-Z आन्दोलनले नेपालको राजनीतिक इतिहासमा एउटा महत्वपूर्ण मोड ल्याएको छ भन्ने कुरामा तपाईं कत्तिको सहमत हुनुहुन्छ?,select_one agree5,
104,q4_4,q4_4,4.4 Gen-Z protest: greater youth civic/political participation,4.4.  To what extent do you agree that the Gen-Z protest has encouraged greater civic and political participation among young people? Gen-Z,४.४ आन्दोलनले युवाहरूको सामाजिक  तथा राजनीतिक सहभागिता बढाउन प्रोत्साहन गरेको छ भन्ने कुरामा तपाईं कत्तिको सहमत हुनुहुन्छ?,select_one agree5,
105,q4_5,q4_5,4.5 Gen-Z protest: youth voices included in mainstream politics,4.5.  To what extent do you agree Gen-Z protest have led to inclusion of youth voices into mainstream politics? Gen-Z,४.५ आन्दोलनले युवाहरूका आवाजलाई मूलधारको राजनीतिमा समेट्न योगदान गरेको छ भन्ने कुरामा तपाईं कत्तिको सहमत हुनुहुन्छ?,select_one agree5,
106,q4_6,q4_6,4.6 Gen-Z protest: increased public support for RSP,4.6.  To what extent do you agree that the Gen Z protest contributed to the rise of public support for the Rastriya Swatantra Party (RSP)? Gen-Z,४.६ आन्दोलनले हालको बहुमत प्राप्त सरकार प्रति जनसमर्थन बढाउन योगदान गरेको छ भन्ने कुरामा तपाईं कत्तिको सहमत हुनुहुन्छ?,select_one agree5,
107,q4_7,q4_7,4.7 Current government represents youth interests,4.7.  To what extent do you agree that the current government represents the interests of the young generation in Nepal?,४.७ हालको सरकारले नेपालका युवापुस्ताको हितको प्रतिनिधित्व गर्छ भन्ने कुरामा तपाईं कत्तिको सहमत हुनुहुन्छ?,select_one agree5,
108,q4_8,q4_8,4.8 Government will continue to advance youth interests,4.8.  To what extent do you agree that the current government will continue to represent and advance the interest of young people?,४.८ हालको सरकारले आगामी दिनमा पनि युवाहरूको हितको प्रतिनिधित्व र प्रवर्द्धन गरिरहनेछ भन्ने कुरामा तपाईं कत्तिको सहमत हुनुहुन्छ?,select_one agree5,
111,q5_1,q5_1,5.1 Attention to protests in other Asian countries,"5.1.  How closely have you followed Gen-Z or other protests in other Asian countries Indonesia, Bangladesh, Sri Lanka, and India?","५.१ इन्डोनेसिया, बंगलादेश, श्रीलंका र भारतलगायत अन्य एसियाली देशहरूमा भएका Gen-Z वा अन्य आन्दोलनलाई तपाईंले कत्तिको नजिकबाट चासो  राख्नु भएको छ?",select_one south_follow,
113,q5_2_1,q5_2_1,South Asia dissent cause: Governance/corruption/public services,"5.2.1 Young people in South Asia are expressing their dissent against the existing political regime because of lack good governance, rampant corruption, and poor public service delivery.","५.२.१ दक्षिण एसियाका युवाहरूले सुशासनको कमी, व्यापक भ्रष्टाचार र कमजोर सार्वजनिक सेवा प्रवाहका कारण विद्यमान राजनीतिक व्यवस्थाप्रति असहमति व्यक्त गरिरहेका छन्।",select_one agree6,
114,q5_2_2,q5_2_2,South Asia dissent cause: Unemployment/economic opportunities,5.2.2 Young people in South Asia are expressing their dissent against the existing political regime because of unemployment and lack of economic opportunities.,५.२.२ दक्षिण एसियाका युवाहरूले बेरोजगारी र आर्थिक अवसरको कमीका कारण विद्यमान राजनीतिक व्यवस्थाप्रति असहमति व्यक्त गरिरहेका छन्।,select_one agree6,
115,q5_2_3,q5_2_3,South Asia dissent cause: Distrust of leaders/parties/institutions,"5.2.3 Young people in South Asia are expressing their dissent against the existing political regime because of lack of trust in political leaders, political parties, and government institutions","५.२.३ दक्षिण एसियाका युवाहरूले राजनीतिक नेता, दल र सरकारी संस्थाप्रतिको विश्वासको कमीका कारण विद्यमान राजनीतिक व्यवस्थाप्रति असहमति व्यक्त गरिरहेका छन्।",select_one agree6,
116,q5_2_4,q5_2_4,South Asia dissent cause: Political exclusion,5.2.4 Young people in South Asia are expressing their dissent against the existing political regime because of their exclusion from politics.,५.२.४ दक्षिण एसियाका युवाहरूले राजनीतिबाट आफूहरू बहिष्कृत भएको कारण विद्यमान राजनीतिक व्यवस्थाप्रति असहमति व्यक्त गरिरहेका छन्।,select_one agree6,
117,q5_2_5,q5_2_5,South Asia dissent cause: Nepotism/elite capture,5.2.5 Young people in South Asia are expressing their dissent against the existing political regime because of nepotism and elite capture.,५.२.५ दक्षिण एसियाका युवाहरूले नातावाद र पहुँचयोग्य वर्गको वर्चस्व  कारण विद्यमान राजनीतिक व्यवस्थाप्रति असहमति व्यक्त गरिरहेका छन्।,select_one agree6,
118,q5_2_6,q5_2_6,South Asia dissent cause: Foreign/external influence,5.2.6 Young people in South Asia are expressing their dissent against the existing political regime because of external or outside influence.,५.२.६ दक्षिण एसियाका युवाहरूले बाह्य प्रभावका कारण विद्यमान राजनीतिक व्यवस्थाप्रति असहमति व्यक्त गरिरहेका छन्।,select_one agree6,
120,q5_3,q5_3,5.3 Protests in one country encourage others in South Asia,5.3. To what extent do you agree with the following statement? Protest in one country has encouraged protests in other countries in South Asia.,५.३ तलका भनाइहरूसँग तपाईं कत्तिको सहमत हुनुहुन्छ? एउटा देशमा भएको आन्दोलनले दक्षिण एसियाका अन्य देशहरूमा पनि आन्दोलन गर्न प्रोत्साहन गरेको छ।,select_one agree5,
121,q5_4,q5_4,5.4 Political stability of South Asia today,5.4.  How would you rate the political stability of the entire South Asian region today?,५.४ आजको अवस्थामा समग्र दक्षिण एसियाली क्षेत्रको राजनीतिक स्थिरतालाई तपाईं कसरी मूल्याङ्कन गर्नुहुन्छ?,select_one south_stability,
122,q5_5,q5_5,5.5 Optimism for South Asian stability over next five years,"5.5.  Overall, how optimistic are you about political stability in South Asia over the next five years?","५.५ समग्रमा, आगामी पाँच वर्षमा दक्षिण एसियाली क्षेत्रको राजनीतिक स्थिरताबारे तपाईं कत्तिको आशावादी हुनुहुन्छ?",select_one optimism,
124,q5_6_1,q5_6_1,South Asia stability risk: Corruption/lack of accountability,5.6.1. Corruption/ lack of accountability poses a great risk to political stability in South Asia,५.६.१ भ्रष्टाचार/जवाफदेहिताको कमीले भविष्यमा दक्षिण एसियाली क्षेत्रको  राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउन सक्छ,select_one agree5,
125,q5_6_2,q5_6_2,South Asia stability risk: Unemployment/economic opportunities,5.6.2 Unemployment and lack of economic opportunities pose a great risk to political stability in South Asia.,५.६.२ बेरोजगारी र आर्थिक अवसरको कमीले भविष्यमा दक्षिण एसियाली क्षेत्रको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउन सक्छ,select_one agree5,
