label_set,source_code,stata_code,label_text
vl_vx7xv18,-99,.r,Prefer not to say
vl_vx7xv18,No corresponding choice in this list; added definition,.d,Don't know
vl_vx7xv18,No corresponding choice in this list; added definition,.u,Unmapped source response (review)
vl_fx1wd71,1,1,Strongly agree
vl_fx1wd71,2,2,Agree
vl_fx1wd71,3,3,Neutral
vl_fx1wd71,4,4,Disagree
vl_fx1wd71,5,5,Strongly disagree
vl_fx1wd71,-99,.r,Prefer not to say
vl_fx1wd71,No corresponding choice in this list; added definition,.d,Don't know
vl_fx1wd71,No corresponding choice in this list; added definition,.u,Unmapped source response (review)
vl_stability,1,1,Very stable
vl_stability,2,2,Stable
vl_stability,3,3,Neutral
vl_stability,4,4,Unstable
vl_stability,5,5,Very unstable
vl_stability,-99,.r,Prefer not to say
vl_stability,6,.d,Don't know
vl_stability,No corresponding choice in this list; added definition,.u,Unmapped source response (review)
vl_comparison,1,1,Much more stable
vl_comparison,2,2,Somewhat more stable
vl_comparison,3,3,About the same
vl_comparison,4,4,Somewhat less stable
vl_comparison,5,5,Much less stable
vl_comparison,-99,.r,Prefer not to say
vl_comparison,6,.d,Don't know
vl_comparison,No corresponding choice in this list; added definition,.u,Unmapped source response (review)
vl_likelihood,1,1,Very Likely
vl_likelihood,2,2,Somewhat Likely
vl_likelihood,3,3,Neutral/ Not sure
vl_likelihood,4,4,Somewhat unlikely
vl_likelihood,5,5,Very unlikely
vl_likelihood,-99,.r,Prefer not to say
vl_likelihood,No corresponding choice in this list; added definition,.d,Don't know
vl_likelihood,No corresponding choice in this list; added definition,.u,Unmapped source response (review)
vl_sn7om92,1,1,Strongly agree
vl_sn7om92,2,2,Agree
vl_sn7om92,3,3,Neutral
vl_sn7om92,4,4,Disagree
vl_sn7om92,5,5,Strongly disagree
vl_sn7om92,-99,.r,Prefer not to say
vl_sn7om92,dont_know,.d,Don't know
vl_sn7om92,No corresponding choice in this list; added definition,.u,Unmapped source response (review)
vl_follow_genz,1,1,Engaged directly
vl_follow_genz,2,2,Very closely
vl_follow_genz,3,3,Somewhat closely
vl_follow_genz,4,4,Heard but followed very little
vl_follow_genz,5,5,Not at all
vl_follow_genz,-99,.r,Prefer not to say
vl_follow_genz,No corresponding choice in this list; added definition,.d,Don't know
vl_follow_genz,No corresponding choice in this list; added definition,.u,Unmapped source response (review)
vl_south_follow,1,1,Very Closely
vl_south_follow,2,2,Somewhat Closely
vl_south_follow,3,3,Not very Closely
vl_south_follow,4,4,Not at all
vl_south_follow,-99,.r,Prefer not to say
vl_south_follow,No corresponding choice in this list; added definition,.d,Don't know
vl_south_follow,No corresponding choice in this list; added definition,.u,Unmapped source response (review)
vl_agree6,1,1,Strongly Agree
vl_agree6,2,2,Agree
vl_agree6,3,3,Neutral
vl_agree6,4,4,Disagree
vl_agree6,5,5,Strongly disagree
vl_agree6,-99,.r,Prefer not to say
vl_agree6,6,.d,Don't know
vl_agree6,No corresponding choice in this list; added definition,.u,Unmapped source response (review)
vl_south_stability,1,1,Very Stable
vl_south_stability,2,2,Stable
vl_south_stability,3,3,Neutral
vl_south_stability,4,4,Unstable
vl_south_stability,5,5,Very Unstable
vl_south_stability,6,.d,Don't know
vl_south_stability,No corresponding choice in this list; added definition,.r,Prefer not to say
vl_south_stability,No corresponding choice in this list; added definition,.u,Unmapped source response (review)
vl_optimism,1,1,Very Optimistic
vl_optimism,2,2,Somewhat Optimistic
vl_optimism,3,3,Neutral
vl_optimism,4,4,Somewhat Pessimistic
vl_optimism,5,5,Very Pessimistic
vl_optimism,6,.d,Don't know
vl_optimism,No corresponding choice in this list; added definition,.r,Prefer not to say
vl_optimism,No corresponding choice in this list; added definition,.u,Unmapped source response (review)
